=== E1 sustained-traffic test ===
start(host) 2026-09-20T19:07:18Z   duration=2100s   rate=1Hz   target=8.8.8.8
--- baseline: uptime + fatal schedule ---
5309.93 20027.37
914.769287  lte_ml1_common_timer.c:390:
1818.443149  lte_ml1_common_timer.c:390:
2722.117987  lte_ml1_common_timer.c:390:
3625.792806  lte_ml1_common_timer.c:390:
4529.467002  lte_ml1_common_timer.c:390:
--- begin traffic ---
t=5310 ping_ok=1 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5321 ping_ok=1 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5331 ping_ok=1 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5342 ping_ok=1 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5355 ping_ok=0 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5385 ping_ok=0 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5412 ping_ok=1 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5422 ping_ok=1 fatals=5 last_fatal=4529.467002lte_ml1_common_timer.c:390:
t=5437 ping_ok=0 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5447 ping_ok=0 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5461 ping_ok=0 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5491 ping_ok=0 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5521 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5532 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5543 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5553 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5564 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5575 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5586 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5596 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5607 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5618 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5629 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5639 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5650 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5661 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5672 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5682 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5697 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5708 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5719 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5729 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5740 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5751 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5762 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5772 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5783 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5794 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5805 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5816 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5826 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5837 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5848 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5859 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5870 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5880 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5891 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5902 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5912 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5923 ping_ok=0 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5951 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5962 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5973 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5984 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=5995 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6006 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6017 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6028 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6039 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6049 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6060 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6071 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6082 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6093 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6103 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6114 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6125 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6136 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6147 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6157 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6168 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6179 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6190 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6201 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6211 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6222 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6233 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6244 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6255 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6265 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6276 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6287 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6298 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6308 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6319 ping_ok=1 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6334 ping_ok=0 fatals=6 last_fatal=5426.331445a2_power.c:1189:
t=6364 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6374 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6398 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6428 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6459 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6489 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6519 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6549 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6562 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6573 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6584 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6595 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6605 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6616 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6627 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6638 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6649 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6677 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6707 ping_ok=0 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6726 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6737 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6748 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6758 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6769 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6780 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6791 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6802 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6812 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6823 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6834 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6845 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6855 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6866 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6877 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6888 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6899 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6910 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6920 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6931 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6942 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6953 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6963 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6974 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6985 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=6996 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7007 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7017 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7028 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7039 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7050 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7061 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7072 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7082 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7093 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7104 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7115 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7126 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7136 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7147 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7158 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7169 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7180 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7190 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7201 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7212 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7223 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7234 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7244 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7255 ping_ok=1 fatals=7 last_fatal=6360.554391a2_power.c:1189:
t=7266 ping_ok=0 fatals=8 last_fatal=7262.819515lte_ml1_sleepmgr_stm.c:4054:
t=7276 ping_ok=0 fatals=8 last_fatal=7262.819515lte_ml1_sleepmgr_stm.c:4054:
t=7300 ping_ok=0 fatals=8 last_fatal=7262.819515lte_ml1_sleepmgr_stm.c:4054:
t=7330 ping_ok=0 fatals=8 last_fatal=7262.819515lte_ml1_sleepmgr_stm.c:4054:
