uptime,oops,fatal,ssr,retries,rebuilds,pc_irq,pc_resync,pc_state,pc_line,rx_mapped,cmd_open,tx_pkts,rx_pkts,defer_q,defer_sub,defer_keep,defer_wipe_live,guard_hits
87.44,0,0,0,0,0,10,0,0,0,32,8,48,35,9,9,9,0,0
97.56,0,0,0,0,0,12,0,0,0,32,8,92,79,12,12,12,0,0
107.69,0,0,0,0,0,14,0,0,0,32,8,132,119,13,13,13,0,0
117.83,0,0,0,0,0,16,0,0,0,32,8,172,159,14,14,14,0,0
127.96,0,0,0,0,0,19,0,1,1,32,8,233,219,18,18,17,0,0
138.09,0,0,0,0,0,21,0,1,1,32,8,296,283,19,19,18,0,0
148.23,0,0,0,0,0,24,0,0,0,32,8,336,323,20,20,19,0,0
158.36,0,0,0,0,0,27,0,1,1,32,8,379,366,23,23,22,0,0
168.50,0,0,0,0,0,28,0,0,0,32,8,420,407,24,24,22,0,0
178.63,0,0,0,0,0,31,0,1,1,32,8,476,463,26,26,24,0,0
188.75,0,0,0,0,0,33,0,1,1,32,8,540,527,27,27,25,0,0
198.89,0,0,0,0,0,36,0,0,0,32,8,584,571,28,28,26,0,0
209.02,0,0,0,0,0,38,0,0,0,32,8,624,611,29,29,27,0,0
219.16,0,0,0,0,0,40,0,0,0,32,8,664,651,30,30,28,0,0
229.30,0,0,0,0,0,43,0,1,1,32,8,726,712,32,32,30,0,0
239.43,0,0,0,0,0,45,0,1,1,32,8,788,775,33,33,31,0,0
249.56,0,0,0,0,0,48,0,0,0,32,8,828,815,34,34,32,0,0
259.70,0,0,0,0,0,51,0,1,1,32,8,872,859,36,36,34,0,0
269.83,0,0,0,0,0,54,0,0,0,32,8,912,899,37,37,35,0,0
279.96,0,0,0,0,0,57,0,1,1,32,8,972,958,39,39,37,0,0
290.10,0,0,0,0,0,59,0,1,1,32,8,1035,1022,40,40,38,0,0
300.23,0,0,0,0,0,62,0,0,0,32,8,1076,1063,41,41,39,0,0
310.36,0,0,0,0,0,64,0,0,0,32,8,1116,1103,42,42,40,0,0
320.50,0,0,0,0,0,66,0,0,0,32,8,1156,1143,43,43,41,0,0
330.63,0,0,0,0,0,69,0,1,1,32,8,1222,1208,45,45,43,0,0
340.76,0,0,0,0,0,71,0,1,1,32,8,1280,1267,46,46,44,0,0
350.90,0,0,0,0,0,74,0,0,0,32,8,1320,1307,47,47,45,0,0
361.03,0,0,0,0,0,76,0,0,0,32,8,1360,1347,48,48,46,0,0
371.16,0,0,0,0,0,78,0,0,0,32,8,1400,1387,49,49,47,0,0
381.30,0,0,0,0,0,81,0,1,1,32,8,1462,1449,51,51,49,0,0
391.43,0,0,0,0,0,83,0,1,1,32,8,1523,1510,52,52,50,0,0
401.56,0,0,0,0,0,86,0,0,0,32,8,1564,1551,53,53,51,0,0
411.70,0,0,0,0,0,88,0,0,0,32,8,1604,1591,54,54,52,0,0
421.83,0,0,0,0,0,90,0,0,0,32,8,1644,1631,55,55,53,0,0
431.96,0,0,0,0,0,93,0,1,1,32,8,1707,1693,57,57,55,0,0
442.09,0,0,0,0,0,95,0,1,1,32,8,1764,1751,58,58,56,0,0
452.22,0,0,0,0,0,97,0,1,1,32,8,1806,1793,59,59,57,0,0
462.35,0,0,0,0,0,100,0,0,0,32,8,1848,1835,61,61,58,0,0
472.48,0,0,0,0,0,102,0,0,0,32,8,1888,1875,62,62,59,0,0
482.63,0,0,0,0,0,105,0,1,1,32,8,1953,1940,64,64,61,0,0
492.77,0,0,0,0,0,107,0,1,1,32,8,2008,1995,65,65,62,0,0
502.93,0,0,0,0,0,110,0,0,0,32,8,2048,2035,66,66,63,0,0
513.09,0,0,0,0,0,112,0,0,0,32,8,2088,2075,67,67,64,0,0
523.24,0,0,0,0,0,115,0,1,1,32,8,2133,2119,70,70,66,0,0
533.39,0,0,0,0,0,117,0,1,1,32,8,2201,2187,71,71,67,0,0
543.55,0,0,0,0,0,119,0,1,1,32,8,2252,2239,72,72,68,0,0
553.71,0,0,0,0,0,122,0,0,0,32,8,2292,2279,73,73,69,0,0
563.86,0,0,0,0,0,124,0,0,0,32,8,2332,2319,74,74,70,0,0
574.02,0,0,0,0,0,127,0,1,1,32,8,2376,2362,76,76,72,0,0
584.17,0,0,0,0,0,129,0,1,1,32,8,2446,2432,77,77,73,0,0
594.33,0,0,0,0,0,133,0,1,1,32,8,2496,2483,79,79,75,0,0
604.49,0,0,0,0,0,136,0,0,0,32,8,2536,2523,80,80,76,0,0
614.64,0,0,0,0,0,138,0,0,0,32,8,2576,2563,81,81,77,0,0
624.80,0,0,0,0,0,141,0,1,1,32,8,2623,2609,83,83,79,0,0
634.95,0,0,0,0,0,143,0,1,1,32,8,2692,2678,84,84,80,0,0
645.11,0,0,0,0,0,145,0,1,1,32,8,2736,2723,85,85,81,0,0
655.27,0,0,0,0,0,149,0,1,1,32,8,2780,2767,87,87,83,0,0
