uptime,n,sig,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,exec,wwan,pc_state,rx_tearing_down,coredumps
951.90,1,a2_power.c:1189,1,1,1,1,1,?,?,?,?,?,1,1,?,?,4
543.77,1,a2_power.c:1189,1,1,1,1,1,?,?,?,?,?,1,1,?,?,4
1455.70,2,lte_ml1_sleepmgr_stm.c:4054,2,2,2,2,2,?,?,?,?,?,2,2,?,?,6
2449.65,3,a2_power.c:1189,3,3,3,3,3,?,?,?,?,?,3,3,?,?,7
3355.26,4,lte_ml1_sleepmgr_stm.c:4054,4,4,4,4,4,?,?,?,?,?,4,4,?,?,8
1337.83,1,lte_ml1_sleepmgr_stm.c:4054,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9
1053.95,1,lte_ml1_sleepmgr_stm.c:4054,2,2,2,2,2,2,2,2,2,2,2,2,1,0,10
719.00,1,a2_power.c:2949,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11
1336.18,2,a2_power.c:1189,2,2,2,2,2,2,2,2,2,2,2,2,0,1,12
2244.25,3,lte_ml1_sleepmgr_stm.c:4054,3,3,3,3,3,3,3,3,3,3,3,3,0,1,13
389.95,1,a2_power.c:1189,4,4,4,4,4,4,4,4,4,4,4,4,0,1,14
502.08,2,a2_power.c:1189,5,5,5,5,5,5,5,5,5,5,5,5,0,1,15
896.52,3,a2_power.c:2949,6,6,6,6,6,6,6,6,6,6,6,6,0,1,16
919.62,1,lte_ml1_sleepmgr_stm.c:4054,1,1,1,1,1,1,1,1,1,1,1,1,0,1,17
1825.87,2,lte_ml1_sleepmgr_stm.c:4054,2,2,2,2,2,2,2,2,2,2,2,2,0,1,18
2718.81,3,lte_ml1_sleepmgr_stm.c:4054,3,3,3,3,3,3,3,3,3,3,3,3,0,1,18
3480.91,4,a2_power.c:2949,4,4,4,4,4,4,4,4,4,4,4,4,1,0,18
4313.31,5,a2_power.c:1189,5,5,5,5,5,5,5,5,5,5,5,5,0,1,18
5218.41,6,lte_ml1_sleepmgr_stm.c:4054,6,6,6,6,6,6,6,6,6,6,6,6,0,1,18
6113.68,7,lte_ml1_sleepmgr_stm.c:4054,7,7,7,7,7,7,7,7,7,7,7,7,1,0,18
6235.66,8,a2_task.c:3179,8,8,8,8,8,8,8,8,8,8,8,8,0,1,18
6407.39,9,a2_power.c:1189,9,9,9,9,9,9,9,9,9,9,9,9,0,1,18
6589.79,10,a2_task.c:3179,10,10,10,10,10,10,10,10,10,10,10,10,0,1,18
7485.93,11,lte_ml1_sleepmgr_stm.c:4054,11,11,11,11,11,11,11,11,11,11,11,11,1,0,18
8390.05,12,lte_ml1_sleepmgr_stm.c:4054,12,12,12,12,12,12,12,12,12,12,12,12,0,1,18
9294.11,13,lte_ml1_sleepmgr_stm.c:4054,13,13,13,13,13,13,13,13,13,13,13,13,0,1,18
10218.62,14,a2_power.c:1189,14,14,14,14,14,14,14,14,14,14,14,14,0,1,18
11123.24,15,lte_ml1_sleepmgr_stm.c:4054,15,15,15,15,15,15,15,15,15,15,15,15,0,1,18
11907.13,16,a2_power.c:1189,16,16,16,16,16,16,16,16,16,16,16,16,0,1,18
12852.14,17,a2_power.c:1189,17,17,17,17,17,17,17,17,17,17,17,17,0,1,18
