timestamp,elapsed_s,uptime_s,ping,netdev_rx_pkt,netdev_tx_pkt,netdev_rx_bytes,netdev_tx_bytes,bam_dma_irq,bam_dmux_irq,rx_callbacks,rx_queued_buffers,rx_slots_submitted,rx_slots_free,rx_submit_failed,rx_last_cb_ms,runtime_status,wds_rx_ok,wds_tx_ok,wds_rx_drop,wds_tx_drop,modem_state,reg_state,packet_state,signal_quality
1788778452,0,73.0,1,16,18,1789,1636,54,5,31,32,32,0,0,10,active,16,18,0,0,connected,home,attached,84
1788778458,5,78.3,1,19,21,2025,1908,60,5,34,32,32,0,0,11,active,19,21,0,0,connected,home,attached,81
1788778463,10,83.7,1,20,22,2109,2004,62,5,35,32,32,0,0,11,active,20,22,0,0,connected,home,attached,81
1788778468,15,89.0,1,21,23,2193,2100,64,5,36,32,32,0,0,12,active,21,23,0,0,connected,home,attached,81
1788778474,21,94.4,1,22,24,2277,2196,66,5,37,32,32,0,0,12,active,22,24,0,0,connected,home,attached,81
1788778479,26,99.8,1,23,25,2361,2292,68,5,38,32,32,0,0,12,active,23,25,0,0,connected,home,attached,81
1788778484,32,105.1,1,26,28,2597,2564,74,5,41,32,32,0,0,11,active,26,28,0,0,connected,home,attached,81
1788778490,37,110.5,1,29,31,2833,2836,80,5,44,32,32,0,0,11,active,29,31,0,0,connected,home,attached,81
1788778495,42,115.8,1,30,32,2917,2932,82,5,45,32,32,0,0,12,active,30,32,0,0,connected,home,attached,81
1788778501,48,121.2,1,31,33,3001,3028,84,5,46,32,32,0,0,11,active,31,33,0,0,connected,home,attached,81
1788778506,53,126.6,1,32,34,3085,3124,86,5,47,32,32,0,0,14,active,32,34,0,0,connected,home,attached,81
1788778511,58,132.0,1,33,35,3169,3220,88,5,48,32,32,0,0,11,active,33,35,0,0,connected,home,attached,81
1788778517,64,137.4,1,36,38,3405,3492,93,5,51,32,32,0,0,15,active,36,38,0,0,connected,home,attached,81
1788778522,69,142.7,1,39,41,3641,3764,99,5,54,32,32,0,0,12,active,39,41,0,0,connected,home,attached,81
