[*] Starting 1,800s Clean-Boot Multi-Tier Soak Harness at Tue Sep  8 23:07:59 2026...
[*] Connecting to router at 192.168.8.1...
[+] Router reachable. Current uptime: 17:22:59 up 26 min,  load average: 0.10, 0.09, 0.08
[*] Initiating clean cold reboot to start 1,800s soak test from t=0 baseline...
[+] Router rebooted successfully! Initial uptime: 17:23:23 up 0 min,  load average: 0.63, 0.15, 0.05
[*] Verifying qcom-time-daemon and keepalive processes...
  Processes:
2451 root       964 S    /usr/sbin/qcom-time-daemon -r 0 -v
 3354 root      1544 S    {modem-keepalive} /bin/sh /usr/sbin/modem-keepalive
 5324 root      1336 S    ash -c ps w | grep -E 'qcom-time-daemon|modem-keepalive'
 5329 root      1336 S    grep -E qcom-time-daemon|modem-keepalive
--- Boot Syslog Transactions ---
Tue Sep  8 17:23:10 2026 daemon.notice qcom-time-daemon[2451]: [QMI-TIME] TX 0x0020 to QRTR node=0 port=11 txn=3 (len=25)
Tue Sep  8 17:23:10 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] INITIAL: Synchronously setting ATS_USER (base=2, offset=1472919223769 ms)...
Tue Sep  8 17:23:10 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] TX 0x0020 to QRTR node=0 port=11 txn=3 (len=25)
Tue Sep  8 17:23:10 2026 daemon.notice qcom-time-daemon[2451]: [QMI-TIME] RX 0x0020 response from QRTR node=0 port=11 txn=3 decoded successfully
Tue Sep  8 17:23:10 2026 daemon.notice qcom-time-daemon[2451]: [QMI-TIME] INITIAL ATS_USER TRANSACTION VERIFIED!
Tue Sep  8 17:23:10 2026 daemon.notice qcom-time-daemon[2451]: [QMI-TIME] Modem baseband confirmed ATS_USER (offset=1472919223769 ms)
Tue Sep  8 17:23:10 2026 daemon.notice qcom-time-daemon[2451]: [QMI-TIME] SCLK calibration watchdog reset. Pure-software modem stable.
Tue Sep  8 17:23:10 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] RX 0x0020 response from QRTR node=0 port=11 txn=3 decoded successfully
Tue Sep  8 17:23:10 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] INITIAL ATS_USER TRANSACTION VERIFIED!
Tue Sep  8 17:23:10 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] Modem baseband confirmed ATS_USER (offset=1472919223769 ms)
Tue Sep  8 17:23:10 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] SCLK calibration watchdog reset. Pure-software modem stable.
Tue Sep  8 17:23:23 2026 daemon.debug qcom-time-daemon[2451]: [QMI-TIME-DEBUG] Async Rx QMI: type=4 txn=2 msg_id=0x0027 len=18
Tue Sep  8 17:23:23 2026 daemon.notice qcom-time-daemon[2451]: [QMI-TIME] Indication 0x0027 (ATS_TOD_UPDATE_IND) received from QRTR node=0 port=11: base=1 (ATS_TOD), offset=1472923395481 ms
Tue Sep  8 17:23:23 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME-DEBUG] Async Rx QMI: type=4 txn=2 msg_id=0x0027 len=18
Tue Sep  8 17:23:23 2026 daemon.err qcom-time-daemon[2451]: qcom-time-daemon[2451]: [QMI-TIME] Indication 0x0027 (ATS_TOD_UPDATE_IND) received from QRTR node=0 port=11: base=1 (ATS_TOD), offset=1472923395481 ms
--------------------------------
[*] Waiting for bearer establishment and initial ping (up to 180s)...
  [Wait 0/90] Ping: FAIL, Modem: connected, Uptime: 35.5s
[+] Cellular data UP at iteration 1 (Baseband Uptime: 40.8s)!
[*] Starting 1,800-second soak test capture at Tue Sep  8 23:08:45 2026...
Elapsed    | Uptime   | Ping  | wwan0 RX   | WDS RX   | Callbacks  | BAM IRQ  | Queued | SubFail | PM State | Crash
---------------------------------------------------------------------------------------------------------
   0s (0m00s) |     41s | OK    | 17 (+0)    | 16 (+0)  | 32 (+0)    | 65 (+0)  | 32     | 0       | active   | CLEAN
   5s (0m05s) |     46s | OK    | 28 (+11)   | 23 (+7)  | 43 (+11)   | 84 (+19) | 32     | 0       | active   | CLEAN
  10s (0m10s) |     52s | OK    | 32 (+4)    | 27 (+4)  | 47 (+4)    | 92 (+8)  | 32     | 0       | active   | CLEAN
  15s (0m15s) |     57s | OK    | 35 (+3)    | 30 (+3)  | 50 (+3)    | 98 (+6)  | 32     | 0       | active   | CLEAN
  21s (0m21s) |     62s | OK    | 40 (+5)    | 35 (+5)  | 55 (+5)    | 108 (+10) | 32     | 0       | active   | CLEAN
  26s (0m26s) |     68s | OK    | 43 (+3)    | 38 (+3)  | 58 (+3)    | 114 (+6) | 32     | 0       | active   | CLEAN
  31s (0m31s) |     73s | OK    | 47 (+4)    | 42 (+4)  | 62 (+4)    | 122 (+8) | 32     | 0       | active   | CLEAN
  37s (0m37s) |     78s | OK    | 56 (+9)    | 50 (+8)  | 71 (+9)    | 140 (+18) | 32     | 0       | active   | CLEAN
  42s (0m42s) |     84s | OK    | 59 (+3)    | 53 (+3)  | 74 (+3)    | 146 (+6) | 32     | 0       | active   | CLEAN
  47s (0m47s) |     89s | OK    | 64 (+5)    | 58 (+5)  | 79 (+5)    | 156 (+10) | 32     | 0       | active   | CLEAN
  53s (0m53s) |     94s | OK    | 67 (+3)    | 61 (+3)  | 82 (+3)    | 162 (+6) | 32     | 0       | active   | CLEAN
  58s (0m58s) |    100s | OK    | 71 (+4)    | 65 (+4)  | 86 (+4)    | 170 (+8) | 32     | 0       | active   | CLEAN
  63s (1m03s) |    105s | OK    | 75 (+4)    | 69 (+4)  | 90 (+4)    | 178 (+8) | 32     | 0       | active   | CLEAN
  69s (1m09s) |    110s | OK    | 83 (+8)    | 76 (+7)  | 98 (+8)    | 194 (+16) | 32     | 0       | active   | CLEAN
  74s (1m14s) |    116s | OK    | 86 (+3)    | 79 (+3)  | 101 (+3)   | 200 (+6) | 32     | 0       | active   | CLEAN
  79s (1m19s) |    121s | OK    | 91 (+5)    | 84 (+5)  | 106 (+5)   | 210 (+10) | 32     | 0       | active   | CLEAN
  85s (1m25s) |    126s | OK    | 94 (+3)    | 87 (+3)  | 109 (+3)   | 216 (+6) | 32     | 0       | active   | CLEAN
  90s (1m30s) |    132s | OK    | 98 (+4)    | 91 (+4)  | 113 (+4)   | 224 (+8) | 32     | 0       | active   | CLEAN
  95s (1m35s) |    137s | OK    | 102 (+4)   | 95 (+4)  | 117 (+4)   | 232 (+8) | 32     | 0       | active   | CLEAN
 101s (1m41s) |    142s | OK    | 110 (+8)   | 102 (+7) | 125 (+8)   | 248 (+16) | 32     | 0       | active   | CLEAN
 106s (1m46s) |    148s | OK    | 113 (+3)   | 105 (+3) | 128 (+3)   | 254 (+6) | 32     | 0       | active   | CLEAN
 111s (1m51s) |    153s | OK    | 118 (+5)   | 110 (+5) | 133 (+5)   | 264 (+10) | 32     | 0       | active   | CLEAN
 117s (1m57s) |    158s | OK    | 122 (+4)   | 114 (+4) | 137 (+4)   | 272 (+8) | 32     | 0       | active   | CLEAN
 122s (2m02s) |    164s | OK    | 125 (+3)   | 117 (+3) | 140 (+3)   | 278 (+6) | 32     | 0       | active   | CLEAN
 127s (2m07s) |    169s | OK    | 130 (+5)   | 122 (+5) | 145 (+5)   | 288 (+10) | 32     | 0       | active   | CLEAN
 133s (2m13s) |    174s | OK    | 136 (+6)   | 127 (+5) | 151 (+6)   | 300 (+12) | 32     | 0       | active   | CLEAN
 138s (2m18s) |    180s | OK    | 141 (+5)   | 132 (+5) | 156 (+5)   | 310 (+10) | 32     | 0       | active   | CLEAN
