timestamp,elapsed_s,uptime_s,ping,netdev_rx_pkt,netdev_tx_pkt,netdev_rx_bytes,netdev_tx_bytes,bam_dma_irq,bam_dmux_irq,rx_callbacks,rx_queued_buffers,rx_slots_submitted,rx_slots_free,rx_submit_failed,rx_last_cb_ms,runtime_status,wds_rx_ok,wds_tx_ok,wds_rx_drop,wds_tx_drop,modem_state,reg_state,packet_state,signal_quality,crash_info
1788893389,0,43.3,1,19,28,2250,2712,62,4,34,32,32,0,0,21,active,14,24,0,0,connected,home,attached,86,NONE
1788893391,2,45.7,1,22,31,2486,2984,68,4,37,32,32,0,0,12,active,17,25,0,0,connected,home,attached,86,NONE
1788893393,4,48.0,1,24,33,2654,3176,72,4,39,32,32,0,0,11,active,19,27,0,0,connected,home,attached,86,NONE
1788893396,6,50.3,1,25,34,2738,3272,74,4,40,32,32,0,0,12,active,20,28,0,0,connected,home,attached,86,NONE
1788893398,9,52.6,1,27,36,2906,3464,78,4,42,32,32,0,0,12,active,22,30,0,0,connected,home,attached,91,NONE
1788893400,11,54.9,1,28,37,2990,3560,80,4,43,32,32,0,0,11,active,23,31,0,0,connected,home,attached,91,NONE
1788893403,13,57.2,1,29,38,3074,3656,82,4,44,32,32,0,0,11,active,24,32,0,0,connected,home,attached,86,NONE
1788893405,16,59.5,1,30,39,3158,3752,84,4,45,32,32,0,0,14,active,25,33,0,0,connected,home,attached,86,NONE
1788893407,18,61.7,1,31,40,3242,3848,86,4,46,32,32,0,0,11,active,26,34,0,0,connected,home,attached,86,NONE
1788893409,20,64.0,1,32,41,3326,3944,88,4,47,32,32,0,0,11,active,27,35,0,0,connected,home,attached,86,NONE
1788893412,22,66.3,1,34,43,3494,4136,92,4,49,32,32,0,0,12,active,29,37,0,0,connected,home,attached,91,NONE
1788893414,25,68.6,1,35,44,3578,4232,94,4,50,32,32,0,0,11,active,30,38,0,0,connected,home,attached,91,NONE
1788893416,27,71.0,1,36,45,3662,4328,96,4,51,32,32,0,0,12,active,31,39,0,0,connected,home,attached,91,NONE
1788893419,29,73.3,1,37,46,3746,4424,98,4,52,32,32,0,0,12,active,32,40,0,0,connected,home,attached,91,NONE
1788893421,32,75.6,1,40,49,4002,4716,104,4,55,32,32,0,0,13,active,34,43,0,0,connected,home,attached,91,NONE
1788893423,34,78.0,1,43,52,4238,4988,110,4,58,32,32,0,0,12,active,37,45,0,0,connected,home,attached,91,NONE
1788893426,37,80.3,1,45,54,4406,5180,114,4,60,32,32,0,0,11,active,39,47,0,0,connected,home,attached,91,NONE
1788893428,39,82.6,1,47,56,4574,5372,118,4,62,32,32,0,0,13,active,41,49,0,0,connected,home,attached,91,NONE
1788893430,41,84.9,1,48,57,4658,5468,120,4,63,32,32,0,0,11,active,42,50,0,0,connected,home,attached,91,NONE
1788893433,43,87.2,1,49,58,4742,5564,122,4,64,32,32,0,0,12,active,43,51,0,0,connected,home,attached,91,NONE
1788893435,46,89.6,1,50,59,4826,5660,124,4,65,32,32,0,0,11,active,44,52,0,0,connected,home,attached,91,NONE
